"id","location_srs","location_x","location_y","operator","elevation","slope","aspect","region","country","geometry","area","map_class","map_class_label","actively_saved","actively_saved_on_year","actively_saved_on_month","actively_saved_on_day","plot_file","ref_class","ref_class_label","confidence","confidence_label","comments"
"270","EPSG:4326","7.501375","7.305125","Rasak Adekola","282","0.032546917344056","3.05382676262263","Kogi","Nigeria","points","1.0","2","Stable forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"221","EPSG:4326","5.102375","7.315625","Rasak Adekola","350","0.0109689434309965","2.42553726935174","Ondo","Nigeria","points","1.0","2","Stable forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"114","EPSG:4326","5.202375","6.491875","Rasak Adekola","83","0.00720123969178752","3.08506480287484","Edo","Nigeria","points","1.0","2","Stable forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"16","EPSG:4326","2.788875","7.172625","Rasak Adekola","58","0.0","0.0","Ogun","Nigeria","points","1.0","2","Stable forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"26","EPSG:4326","3.191875","7.911375","Rasak Adekola","237","0.0132889173054624","1.03513702719183","Oyo","Nigeria","points","1.0","2","Stable forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"74","EPSG:4326","8.162375","6.849375","Rasak Adekola","62","0.0070780036989048","1.49405793575171","Benue","Nigeria","points","1.0","2","Stable forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"21","EPSG:4326","11.400625","8.670125","Rasak Adekola","231","0.00852037028529586","0.16066596106556","Taraba","Nigeria","points","1.0","2","Stable forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"282","EPSG:4326","4.999375","8.675375","Rasak Adekola","203","0.0070162732569185","1.43503891981284","Kwara","Nigeria","points","1.0","2","Stable forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"299","EPSG:4326","6.741875","4.452375","Rasak Adekola","13","0.00256534529062281","1.89365614624821","Rivers","Nigeria","points","1.0","2","Stable forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"207","EPSG:4326","7.726375","5.517125","Rasak Adekola","38","0.0072942626834385","2.11850380405475","Akwa Ibom","Nigeria","points","1.0","2","Stable forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"202","EPSG:4326","10.258375","7.020875","Rasak Adekola","408","0.138391769665233","3.74329827843102","Taraba","Nigeria","points","1.0","2","Stable forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"240","EPSG:4326","7.809875","5.395375","Rasak Adekola","18","0.00461587777472442","3.84272756955703","Akwa Ibom","Nigeria","points","1.0","2","Stable forest","true","2018","12","1","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"174","EPSG:4326","7.291625","6.336375","Rasak Adekola","164","0.0358814129284362","5.0797595525254","Enugu","Nigeria","points","1.0","2","Stable forest","true","2018","12","1","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"4","EPSG:4326","3.821875","8.432625","Rasak Adekola","325","0.00838083354889166","4.09032966563076","Oyo","Nigeria","points","1.0","2","Stable forest","true","2018","12","3","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High","Old Oyo National Park"
"99","EPSG:4326","5.235875","7.373625","Rasak Adekola","363","0.0190392116958164","1.52803296720999","Ondo","Nigeria","points","1.0","2","Stable forest","false","2018","12","3","pts_CE_2018-11-29_nigeria_GFC_samples.csv",,,,,
"125","EPSG:4326","2.896375","7.077625","Rasak Adekola","32","0.00385749918170869","3.82778069560713","Ogun","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"9","EPSG:4326","7.741125","10.668875","Rasak Adekola","599","0.0041738240573313","2.11767483202939","Kaduna","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"184","EPSG:4326","4.797125","8.301625","Rasak Adekola","379","0.00922503216709262","1.94725407665663","Kwara","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High","Forest gain"
"36","EPSG:4326","7.927625","7.957375","Rasak Adekola","57","3.84258789971022E-4","5.49631184095691","Benue","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
